arm_id,scenario_id,scenario_type,trial_number,status,input_order,output_ranking,spearman_input_output,exact_input_order_match
deterministic_structural,ow14-s0001,positive,1,valid,ox14-c000348 ox14-c000227 ox14-c000189 ox14-c000236 ox14-c000030,ox14-c000189 ox14-c000348 ox14-c000227 ox14-c000236 ox14-c000030,0.7000000000,false
deterministic_structural,ow14-s0002,positive,1,valid,ox14-c000426 ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341,ox14-c000209 ox14-c000341 ox14-c000426 ox14-c000083 ox14-c000222,-0.5000000000,false
deterministic_structural,ow14-s0003,positive,1,valid,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,ox14-c000184 ox14-c000254 ox14-c000259 ox14-c000326 ox14-c000333,-0.1000000000,false
deterministic_structural,ow14-s0004,positive,1,valid,ox14-c000055 ox14-c000229 ox14-c000355 ox14-c000278 ox14-c000031,ox14-c000055 ox14-c000278 ox14-c000355 ox14-c000229 ox14-c000031,0.6000000000,false
deterministic_structural,ow14-s0005,positive,1,valid,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,ox14-c000065 ox14-c000098 ox14-c000125 ox14-c000204 ox14-c000294,-0.7000000000,false
deterministic_structural,ow14-s0006,positive,1,valid,ox14-c000164 ox14-c000044 ox14-c000334 ox14-c000066 ox14-c000409,ox14-c000044 ox14-c000066 ox14-c000334 ox14-c000409 ox14-c000164,-0.1000000000,false
deterministic_structural,ow14-s0007,positive,1,valid,ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000432 ox14-c000255,ox14-c000112 ox14-c000208 ox14-c000255 ox14-c000261 ox14-c000432,0.6000000000,false
deterministic_structural,ow14-s0008,positive,1,valid,ox14-c000362 ox14-c000310 ox14-c000414 ox14-c000224 ox14-c000173,ox14-c000414 ox14-c000224 ox14-c000362 ox14-c000173 ox14-c000310,-0.1000000000,false
deterministic_structural,ow14-s0009,positive,1,valid,ox14-c000402 ox14-c000210 ox14-c000063 ox14-c000391 ox14-c000036,ox14-c000063 ox14-c000210 ox14-c000391 ox14-c000402 ox14-c000036,0.3000000000,false
deterministic_structural,ow14-s0010,positive,1,valid,ox14-c000225 ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067,ox14-c000067 ox14-c000252 ox14-c000320 ox14-c000349 ox14-c000225,-0.7000000000,false
deterministic_structural,ow14-s0011,positive,1,valid,ox14-c000329 ox14-c000369 ox14-c000165 ox14-c000140 ox14-c000090,ox14-c000140 ox14-c000329 ox14-c000090 ox14-c000369 ox14-c000165,-0.1000000000,false
deterministic_structural,ow14-s0012,positive,1,valid,ox14-c000244 ox14-c000072 ox14-c000265 ox14-c000081 ox14-c000389,ox14-c000072 ox14-c000244 ox14-c000265 ox14-c000389 ox14-c000081,0.8000000000,false
deterministic_structural,ow14-s0013,positive,1,valid,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,ox14-c000046 ox14-c000211 ox14-c000246 ox14-c000323 ox14-c000380,-0.7000000000,false
deterministic_structural,ow14-s0014,positive,1,valid,ox14-c000025 ox14-c000108 ox14-c000181 ox14-c000068 ox14-c000121,ox14-c000068 ox14-c000108 ox14-c000121 ox14-c000025 ox14-c000181,-0.3000000000,false
deterministic_structural,ow14-s0015,positive,1,valid,ox14-c000197 ox14-c000012 ox14-c000415 ox14-c000058 ox14-c000037,ox14-c000058 ox14-c000197 ox14-c000415 ox14-c000012 ox14-c000037,0.3000000000,false
deterministic_structural,ow14-s0016,positive,1,valid,ox14-c000110 ox14-c000245 ox14-c000354 ox14-c000270 ox14-c000374,ox14-c000110 ox14-c000245 ox14-c000270 ox14-c000354 ox14-c000374,0.9000000000,false
deterministic_structural,ow14-s0017,positive,1,valid,ox14-c000087 ox14-c000075 ox14-c000322 ox14-c000127 ox14-c000033,ox14-c000075 ox14-c000127 ox14-c000322 ox14-c000087 ox14-c000033,0.3000000000,false
deterministic_structural,ow14-s0018,positive,1,valid,ox14-c000406 ox14-c000352 ox14-c000277 ox14-c000262 ox14-c000297,ox14-c000262 ox14-c000277 ox14-c000352 ox14-c000406 ox14-c000297,0.0000000000,false
deterministic_structural,ow14-s0019,positive,1,valid,ox14-c000357 ox14-c000183 ox14-c000193 ox14-c000113 ox14-c000060,ox14-c000060 ox14-c000113 ox14-c000193 ox14-c000357 ox14-c000183,-0.9000000000,false
deterministic_structural,ow14-s0020,positive,1,valid,ox14-c000097 ox14-c000103 ox14-c000398 ox14-c000381 ox14-c000293,ox14-c000097 ox14-c000103 ox14-c000381 ox14-c000398 ox14-c000293,0.9000000000,false
deterministic_structural,ow14-s0021,positive,1,valid,ox14-c000373 ox14-c000422 ox14-c000400 ox14-c000093 ox14-c000107,ox14-c000107 ox14-c000400 ox14-c000422 ox14-c000093 ox14-c000373,-0.7000000000,false
deterministic_structural,ow14-s0022,positive,1,valid,ox14-c000237 ox14-c000337 ox14-c000053 ox14-c000350 ox14-c000427,ox14-c000053 ox14-c000237 ox14-c000337 ox14-c000350 ox14-c000427,0.7000000000,false
deterministic_structural,ow14-s0023,positive,1,valid,ox14-c000016 ox14-c000344 ox14-c000384 ox14-c000216 ox14-c000122,ox14-c000122 ox14-c000216 ox14-c000344 ox14-c000384 ox14-c000016,-0.9000000000,false
deterministic_structural,ow14-s0024,positive,1,valid,ox14-c000207 ox14-c000268 ox14-c000356 ox14-c000220 ox14-c000177,ox14-c000207 ox14-c000220 ox14-c000268 ox14-c000356 ox14-c000177,0.7000000000,false
