deterministic_rr,deterministic_top1,deterministic_top2,deterministic_top4,gpt_invalid_or_failed_trials,gpt_mean_rr,gpt_top1_proportion,gpt_top2_proportion,gpt_top4_proportion,gpt_valid_trials,qwen_invalid_or_failed_trials,qwen_mean_rr,qwen_top1_proportion,qwen_top2_proportion,qwen_top4_proportion,qwen_valid_trials,scenario_id
0.3333333333333333,0,0,1,0,1.0,1.0,1.0,1.0,5,0,0.25,0.0,0.0,1.0,5,ow14-s0001
0.2,0,0,0,0,0.32,0.0,0.4,0.4,5,0,0.5,0.0,1.0,1.0,5,ow14-s0002
0.25,0,0,1,0,0.5,0.0,1.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0003
1.0,1,1,1,0,0.6,0.2,1.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0004
0.5,0,1,1,0,0.35,0.0,0.4,1.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0005
0.3333333333333333,0,0,1,0,0.5,0.0,1.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0006
0.3333333333333333,0,0,1,0,0.2633333333333333,0.0,0.0,0.6,5,0,0.2,0.0,0.0,0.0,5,ow14-s0007
0.25,0,0,1,0,0.2,0.0,0.0,0.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0008
1.0,1,1,1,0,0.3,0.0,0.2,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0009
0.25,0,0,1,0,0.35,0.0,0.4,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0010
0.5,0,1,1,0,0.31666666666666665,0.0,0.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0011
0.5,0,1,1,0,0.7333333333333333,0.6,0.6,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0012
0.2,0,0,0,0,0.3,0.0,0.0,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0013
1.0,1,1,1,0,0.3333333333333333,0.0,0.0,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0014
0.3333333333333333,0,0,1,0,0.8666666666666667,0.8,0.8,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0015
1.0,1,1,1,0,0.75,0.6,0.8,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0016
0.3333333333333333,0,0,1,0,0.3333333333333333,0.0,0.2,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0017
1.0,1,1,1,0,0.2833333333333333,0.0,0.0,1.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0018
0.3333333333333333,0,0,1,0,0.6,0.2,1.0,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0019
1.0,1,1,1,0,1.0,1.0,1.0,1.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0020
0.5,0,1,1,0,0.31666666666666665,0.0,0.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0021
0.5,0,1,1,0,0.55,0.2,0.8,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0022
1.0,1,1,1,0,0.45,0.0,0.8,1.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0023
0.25,0,0,1,0,0.3333333333333333,0.0,0.0,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0024
0.25,0,0,1,0,0.2,0.0,0.0,0.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0025
0.3333333333333333,0,0,1,0,0.3,0.0,0.0,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0026
0.5,0,1,1,0,0.3,0.0,0.0,1.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0027
0.25,0,0,1,0,1.0,1.0,1.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0028
0.5,0,1,1,0,0.29,0.0,0.0,0.8,5,0,0.2,0.0,0.0,0.0,5,ow14-s0029
1.0,1,1,1,0,0.2,0.0,0.0,0.0,5,0,0.25,0.0,0.0,1.0,5,ow14-s0030
1.0,1,1,1,0,0.39999999999999997,0.0,0.4,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0031
0.5,0,1,1,0,0.74,0.6,0.8,0.8,5,0,1.0,1.0,1.0,1.0,5,ow14-s0032
0.5,0,1,1,0,1.0,1.0,1.0,1.0,5,0,1.0,1.0,1.0,1.0,5,ow14-s0033
0.3333333333333333,0,0,1,0,0.2,0.0,0.0,0.0,5,0,1.0,1.0,1.0,1.0,5,ow14-s0034
0.5,0,1,1,0,0.25,0.0,0.0,1.0,5,0,1.0,1.0,1.0,1.0,5,ow14-s0035
0.2,0,0,0,0,0.84,0.8,0.8,0.8,5,0,0.5,0.0,1.0,1.0,5,ow14-s0036
0.5,0,1,1,0,0.31666666666666665,0.0,0.0,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0037
0.2,0,0,0,0,0.2,0.0,0.0,0.0,5,0,0.25,0.0,0.0,1.0,5,ow14-s0038
0.2,0,0,0,0,0.2,0.0,0.0,0.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0039
0.5,0,1,1,0,0.7666666666666666,0.6,0.8,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0040
0.25,0,0,1,0,0.5,0.0,1.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0041
0.5,0,1,1,0,0.37333333333333335,0.0,0.4,0.8,5,0,0.5,0.0,1.0,1.0,5,ow14-s0042
0.3333333333333333,0,0,1,0,0.45,0.0,0.8,1.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0043
0.3333333333333333,0,0,1,0,1.0,1.0,1.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0044
0.2,0,0,0,0,0.2,0.0,0.0,0.0,5,0,1.0,1.0,1.0,1.0,5,ow14-s0045
1.0,1,1,1,0,0.5,0.0,1.0,1.0,5,0,1.0,1.0,1.0,1.0,5,ow14-s0046
1.0,1,1,1,0,1.0,1.0,1.0,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0047
0.2,0,0,0,0,0.26,0.0,0.2,0.2,5,0,1.0,1.0,1.0,1.0,5,ow14-s0048
0.5,0,1,1,0,0.25,0.0,0.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0049
0.2,0,0,0,0,0.32,0.0,0.4,0.4,5,0,0.2,0.0,0.0,0.0,5,ow14-s0050
0.2,0,0,0,0,0.52,0.4,0.4,0.4,5,0,1.0,1.0,1.0,1.0,5,ow14-s0051
0.3333333333333333,0,0,1,0,1.0,1.0,1.0,1.0,5,0,1.0,1.0,1.0,1.0,5,ow14-s0052
1.0,1,1,1,0,1.0,1.0,1.0,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0053
0.25,0,0,1,0,0.9,0.8,1.0,1.0,5,0,0.25,0.0,0.0,1.0,5,ow14-s0054
0.25,0,0,1,0,0.3333333333333333,0.0,0.0,1.0,5,0,0.25,0.0,0.0,1.0,5,ow14-s0055
0.25,0,0,1,0,0.5,0.0,1.0,1.0,5,0,0.25,0.0,0.0,1.0,5,ow14-s0056
0.3333333333333333,0,0,1,0,0.25,0.0,0.0,1.0,5,0,0.25,0.0,0.0,1.0,5,ow14-s0057
0.25,0,0,1,0,0.85,0.8,0.8,1.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0058
0.5,0,1,1,0,0.35,0.0,0.4,1.0,5,0,0.3333333333333333,0.0,0.0,1.0,5,ow14-s0059
0.2,0,0,0,0,0.84,0.8,0.8,0.8,5,0,1.0,1.0,1.0,1.0,5,ow14-s0060
0.25,0,0,1,0,0.2,0.0,0.0,0.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0061
0.25,0,0,1,0,0.85,0.8,0.8,1.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0062
0.5,0,1,1,0,1.0,1.0,1.0,1.0,5,0,0.25,0.0,0.0,1.0,5,ow14-s0063
0.25,0,0,1,0,0.2,0.0,0.0,0.0,5,0,0.2,0.0,0.0,0.0,5,ow14-s0064
0.5,0,1,1,0,0.2833333333333333,0.0,0.0,1.0,5,0,0.5,0.0,1.0,1.0,5,ow14-s0065
